Ship's capacity,Number of containers,Dynamic algorithm time,Greedy algorithm time,Greedy algorithm quality
2500,20,0.02518,3e-05,99.812
4500,20,0.03219,2e-05,100.0
6500,20,0.04561,3e-05,96.771
8500,20,0.0503,3e-05,100.0
10500,20,0.05251,2e-05,97.684
12500,20,0.06487,3e-05,100.0
14500,20,0.08878,4e-05,99.288
16500,20,0.07584,3e-05,100.0
18500,20,0.09536,3e-05,100.0
20500,20,0.09781,2e-05,100.0
22500,20,0.10578,3e-05,100.0
24500,20,0.10907,2e-05,99.201
26500,20,0.12793,3e-05,99.49
28500,20,0.12669,3e-05,99.157
30500,20,0.1097,2e-05,100.0
